MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Población,POBLACION,1999,1999,Lanzarote,ES708,Mujeres,F,43831,,,,
Población. Proporción,POBLACION_PROPORCION,1999,1999,Lanzarote,ES708,Mujeres,F,5.21,,,,
Población. Tasa de variación anual,POBLACION_TVA,1999,1999,Lanzarote,ES708,Mujeres,F,6.16,,,,
Población. Variación anual,POBLACION_VA,1999,1999,Lanzarote,ES708,Mujeres,F,2544,,,,
Población,POBLACION,2000,2000,Lanzarote,ES708,Mujeres,F,46637,,,,
Población. Proporción,POBLACION_PROPORCION,2000,2000,Lanzarote,ES708,Mujeres,F,5.41,,,,
Población. Tasa de variación anual,POBLACION_TVA,2000,2000,Lanzarote,ES708,Mujeres,F,6.4,,,,
Población. Variación anual,POBLACION_VA,2000,2000,Lanzarote,ES708,Mujeres,F,2806,,,,
Población,POBLACION,2001,2001,Lanzarote,ES708,Mujeres,F,49659,,,,
Población. Proporción,POBLACION_PROPORCION,2001,2001,Lanzarote,ES708,Mujeres,F,5.57,,,,
Población. Tasa de variación anual,POBLACION_TVA,2001,2001,Lanzarote,ES708,Mujeres,F,6.48,,,,
Población. Variación anual,POBLACION_VA,2001,2001,Lanzarote,ES708,Mujeres,F,3022,,,,
Población,POBLACION,2002,2002,Lanzarote,ES708,Mujeres,F,53001,,,,
Población. Proporción,POBLACION_PROPORCION,2002,2002,Lanzarote,ES708,Mujeres,F,5.76,,,,
Población. Tasa de variación anual,POBLACION_TVA,2002,2002,Lanzarote,ES708,Mujeres,F,6.73,,,,
Población. Variación anual,POBLACION_VA,2002,2002,Lanzarote,ES708,Mujeres,F,3342,,,,
Población,POBLACION,2003,2003,Lanzarote,ES708,Mujeres,F,55250,,,,
Población. Proporción,POBLACION_PROPORCION,2003,2003,Lanzarote,ES708,Mujeres,F,5.85,,,,
Población. Tasa de variación anual,POBLACION_TVA,2003,2003,Lanzarote,ES708,Mujeres,F,4.24,,,,
Población. Variación anual,POBLACION_VA,2003,2003,Lanzarote,ES708,Mujeres,F,2249,,,,
Población,POBLACION,2004,2004,Lanzarote,ES708,Mujeres,F,56279,,,,
Población. Proporción,POBLACION_PROPORCION,2004,2004,Lanzarote,ES708,Mujeres,F,5.89,,,,
Población. Tasa de variación anual,POBLACION_TVA,2004,2004,Lanzarote,ES708,Mujeres,F,1.86,,,,
Población. Variación anual,POBLACION_VA,2004,2004,Lanzarote,ES708,Mujeres,F,1029,,,,
Población,POBLACION,2005,2005,Lanzarote,ES708,Mujeres,F,59111,,,,
Población. Proporción,POBLACION_PROPORCION,2005,2005,Lanzarote,ES708,Mujeres,F,6.03,,,,
Población. Tasa de variación anual,POBLACION_TVA,2005,2005,Lanzarote,ES708,Mujeres,F,5.03,,,,
Población. Variación anual,POBLACION_VA,2005,2005,Lanzarote,ES708,Mujeres,F,2832,,,,
Población,POBLACION,2006,2006,Lanzarote,ES708,Mujeres,F,61124,,,,
Población. Proporción,POBLACION_PROPORCION,2006,2006,Lanzarote,ES708,Mujeres,F,6.15,,,,
Población. Tasa de variación anual,POBLACION_TVA,2006,2006,Lanzarote,ES708,Mujeres,F,3.41,,,,
Población. Variación anual,POBLACION_VA,2006,2006,Lanzarote,ES708,Mujeres,F,2013,,,,
Población,POBLACION,2007,2007,Lanzarote,ES708,Mujeres,F,63521,,,,
Población. Proporción,POBLACION_PROPORCION,2007,2007,Lanzarote,ES708,Mujeres,F,6.29,,,,
Población. Tasa de variación anual,POBLACION_TVA,2007,2007,Lanzarote,ES708,Mujeres,F,3.92,,,,
Población. Variación anual,POBLACION_VA,2007,2007,Lanzarote,ES708,Mujeres,F,2397,,,,
Población,POBLACION,2008,2008,Lanzarote,ES708,Mujeres,F,66936,,,,
Población. Proporción,POBLACION_PROPORCION,2008,2008,Lanzarote,ES708,Mujeres,F,6.46,,,,
Población. Tasa de variación anual,POBLACION_TVA,2008,2008,Lanzarote,ES708,Mujeres,F,5.38,,,,
Población. Variación anual,POBLACION_VA,2008,2008,Lanzarote,ES708,Mujeres,F,3415,,,,
Población,POBLACION,2009,2009,Lanzarote,ES708,Mujeres,F,68406,,,,
Población. Proporción,POBLACION_PROPORCION,2009,2009,Lanzarote,ES708,Mujeres,F,6.51,,,,
Población. Tasa de variación anual,POBLACION_TVA,2009,2009,Lanzarote,ES708,Mujeres,F,2.2,,,,
Población. Variación anual,POBLACION_VA,2009,2009,Lanzarote,ES708,Mujeres,F,1470,,,,
Población,POBLACION,2010,2010,Lanzarote,ES708,Mujeres,F,68617,,,,
Población. Proporción,POBLACION_PROPORCION,2010,2010,Lanzarote,ES708,Mujeres,F,6.47,,,,
Población. Tasa de variación anual,POBLACION_TVA,2010,2010,Lanzarote,ES708,Mujeres,F,0.31,,,,
Población. Variación anual,POBLACION_VA,2010,2010,Lanzarote,ES708,Mujeres,F,211,,,,
Población,POBLACION,2011,2011,Lanzarote,ES708,Mujeres,F,69395,,,,
Población. Proporción,POBLACION_PROPORCION,2011,2011,Lanzarote,ES708,Mujeres,F,6.51,,,,
Población. Tasa de variación anual,POBLACION_TVA,2011,2011,Lanzarote,ES708,Mujeres,F,1.13,,,,
Población. Variación anual,POBLACION_VA,2011,2011,Lanzarote,ES708,Mujeres,F,778,,,,
Población,POBLACION,2012,2012,Lanzarote,ES708,Mujeres,F,69551,,,,
Población. Proporción,POBLACION_PROPORCION,2012,2012,Lanzarote,ES708,Mujeres,F,6.55,,,,
Población. Tasa de variación anual,POBLACION_TVA,2012,2012,Lanzarote,ES708,Mujeres,F,0.22,,,,
Población. Variación anual,POBLACION_VA,2012,2012,Lanzarote,ES708,Mujeres,F,156,,,,
Población,POBLACION,2013,2013,Lanzarote,ES708,Mujeres,F,69707,,,,
Población. Proporción,POBLACION_PROPORCION,2013,2013,Lanzarote,ES708,Mujeres,F,6.56,,,,
